NP_001011570.1	XP_001600237.1	XP_011166934.1	0.0641	0.1090	0.0962	
NP_001010975.1	XP_001606673.1	XP_011173252.1	0.0694	0.0816	0.0898	
NP_001011575.1	NP_001166022.1	XP_011170854.1	0.1281	0.1570	0.1653	
NP_001011565.1	XP_016840953.1	XP_011165260.1	0.1363	0.1731	0.1952	
NP_001011562.1	XP_003425308.1	XP_011173236.1	0.3987	0.4533	0.4722	
NP_001011563.1	NP_001165965.1	XP_011171836.1	0.3987	0.4960	0.4576	
NP_001011572.1	XP_016843754.1	XP_011175285.1	0.3574	0.4923	0.4708	
NP_001011567.1	NP_001155849.1	XP_011173009.1	0.1306	0.3664	0.3841	
NP_001011573.1	XP_016843406.1	XP_011167265.1	0.2678	0.3888	0.3675	
NP_001011574.1	XP_001604417.2	XP_011170785.1	0.5268	0.6317	0.6028	
NP_001011590.1	XP_001600769.1	XP_011158650.1	0.5755	0.7486	0.8312	
NP_001011598.1	XP_001606021.4	XP_011162987.1	0.4105	0.4690	0.4137	
NP_001011594.1	XP_008206976.2	XP_011156273.1	0.0852	0.1880	0.1654	
NP_001011606.1	XP_001604622.3	XP_011167017.1	0.3470	0.3703	0.4105	
NP_001011602.1	XP_001607008.2	XP_011160447.1	0.0729	0.1021	0.1248	
NP_001011619.1	XP_003426664.1	XP_011161185.1	0.5597	0.6224	0.6722	
NP_001011621.1	XP_001603198.2	XP_011157845.1	0.0874	0.1093	0.1202	
NP_001011627.1	NP_001164357.1	XP_011162616.1	0.2383	0.4393	0.4439	
NP_001011632.1	XP_001602576.2	XP_011160716.1	0.0565	0.0598	0.0681	
NP_001011635.1	NP_001154968.1	XP_011164859.1	0.6211	0.7179	0.6606	
NP_001011653.1	XP_016837284.1	XP_011171861.1	0.0738	0.0872	0.0805	
NP_001011641.1	NP_001135857.1	XP_011170103.1	0.3315	0.4493	0.4297	
NP_001011581.1	XP_001603549.2	XP_011168644.1	0.1392	0.1497	0.1138	
NP_001011650.1	XP_001602491.2	XP_011160718.1	0.1839	0.2632	0.2206	
NP_001011643.1	XP_001602428.1	XP_011175599.1	0.1393	0.1753	0.1862	
NP_001011644.1	XP_016844316.1	XP_011163577.1	0.5867	0.7690	0.7407	
NP_001012633.1	XP_016841775.1	XP_011155447.1	0.4976	1.0771	1.1538	
NP_001012980.1	NP_001161704.1	XP_011165980.1	0.1263	0.2597	0.2877	
NP_001012645.1	XP_016840232.1	XP_011157677.1	0.1564	0.2568	0.2679	
NP_001011639.2	NP_001164379.1	XP_011164467.1	0.2766	0.2910	0.3167	
NP_001014994.1	XP_008202956.1	XP_011157154.1	0.1639	0.2678	0.2281	
